col_1,col_2
greeting,59
pleasure_coming_together,53
overwhelmed,9
other(),25
do_attendance_elicitation,59
feedback_attendance_elicitation_not_first,31
start_goal_elicitation,51
do_goal_elicitation,31
feedback_goal_not_identified,4
acknowledgement,145
launch_session_recommendation,19
do_session_recommendation_1st_time,39
outcome_session_recommendation_3rd_time,22
inform(info),16
elicit_feedback_session_recommendation_1st_time,44
feedback_person_recommendation_1st_time_yes,95
do_person_recommendation_2nd_time,23
out_of_domain,14
outcome_session_recommendation_1st_time,21
feedback_session_recommendation_1st_time_yes,32
selfiebusy,39
ready_selfie,62
do_selfie,62
finish_selfie,57
farewell,60
takecare,39
bye,44
greeting(),12
feedback_attendance_elicitation_first,27
do_interest_elicitation_session_recommendation,49
interests,8
request(send_msg_tlink),83
launch_person_recommendation,21
do_person_recommendation_1st_time,52
outcome_person_recommendation_1st_time,75
elicit_feedback_person_recommendation_1st_time,53
end_person_recommendation_1st_time_no_extra_time,8
feedback_session_recommendation_2nd_time_no,69
launch_food_recommendation,23
ask_selfie,5
introduce,47
feedback_goal_elicitation,53
start_session_recommendation_1st_time,24
start_session_recommendation_2nd_time_if_prior_feedback_yes,21
feedback_session_recommendation_2nd_time_yes,16
start_session_recommendation_2nd_time_if_prior_feedback_no,9
end_session_recommendation_3rd_time,2
end_session_recommendation_2nd_time_yes,5
start_person_recommendation_1st_time,40
request(feedback),20
end_person_recommendation_1st_time_yes,10
feedback_person_recommendation_3rd_time_yes,3
launch_party_recommendation,3
elicit_feedback_party_recommendation,5
pre_closing,46
quick_response_recovery,11
feedback_interest_elicitation_session_recommendation,55
elicit_feedback_person_recommendation_3rd_time,1
unsure,5
start_person_recommendation_2nd_time_if_prior_feedback_yes,26
outcome_person_recommendation_2nd_time,9
start_person_recommendation_3rd_time_if_prior_feedback_yes,4
outcome_person_recommendation_3rd_time,3
intromessage,2
do_food_recommendation,22
outcome_food_recommendation,14
elicit_feedback_food_recommendation,18
start_food_recommendation,6
end_person_recommendation_1st_time,6
end_person_recommendation_2nd_time,13
feedback_person_recommendation_2nd_time_yes,10
send_msg(),13
feedback_food_recommendation_yes,13
end_session_recommendation_1st_time_yes,20
do_session_recommendation_3rd_time,6
reason_recommendation,3
start_attendance_elicitation,9
start_interest_elicitation_session_recommendation,8
start_interest_elicitation_session_recommendation_return_visitor,2
pleasuretomeet,9
introduceself,7
tired(),2
matchmaker,13
request(interest),10
request(primary_goal),3
knowthem,3
end_session_recommendation_1st_time,9
outcome_session_recommendation_2nd_time,14
feedback_start_person_recommendation_2nd_time_yes,6
request(another_reco),15
request(selfie),35
tired,13
end_session_recommendation_3rd_time_no,2
request(goal),5
party2,4
end_person_recommendation_1st_time_no,12
elicit_feedback_person_recommendation_2nd_time,4
feedback_session_recommendation_1st_time_no,5
feedback_session_recommendation_3rd_time_no,3
moodresponse,18
soundgood,2
onitsway,2
start_party_recommendation,1
introduce(),5
elicit_feedback_session_recommendation_2nd_time,9
do_session_recommendation_2nd_time,9
allday,1
start_person_recommendation_2nd_time_if_prior_feedback_no,6
end_person_recommendation_2nd_time_yes,7
task_inability_session,2
ifbody,3
secret,3
lunch,2
thank,10
elicit_feedback_davos_recommendation,2
howsgoing,3
start_interest_elicitation_person_recommendation,2
firstthings,5
whatsay,2
end_session_recommendation_2nd_time,4
nopress,2
transition,2
feedback_interest_elicitation_session_recommendation_alternate_job,2
searchbrain,2
work,3
sogood,3
feedback_person_recommendation_1st_time_no,3
ask_met_before,1
give_feedback(),2
adventureifknow,1
end_session_recommendation_1st_time_no,3
hobby,2
introduct(),1
take_selfie(),2
feedback_person_recommendation_2nd_time_no,3
messagecontent,1
howabout,1
do_party_recommendation_Tuesday,4
do_person_recommendation_3rd_time,1
feedback_start_person_recommendation_3rd_time_yes,3
bye(),4
elicit_feedback_session_recommendation_3rd_time,1
end_person_recommendation_2nd_time_no,2
request(anything_else),2
sara_where_from,1
sara_how_old,1
havefun,3
request(first_time),1
Not found,4
No found,1
end_session_recommendation_3rd_time_yes,1
start_session_recommendation_3rd_time_if_prior_feedback_yes,1
start_session_recommendation_3rd_time_if_prior_feedback_no,3
lipssealed,1
seshemail,1
introducenew,1
happily,1
